Train,Start Time DEB,Start Date DEB,Start Time FOR,Start Date FOR,Start Time DEG,Start Date DEG
"('ARR', 412202, 1248)",21:00,14/08/2022,,,,
"('ARR', 431018, 801)",21:00,14/08/2022,,,,
"('ARR', 431246, 664)",21:00,14/08/2022,,,,
"('ARR', 44951, 1130)",21:00,14/08/2022,,,,
"('ARR', 450237, 707)",21:00,14/08/2022,,,,
"('ARR', 489016, 1415)",21:00,14/08/2022,,,,
"('ARR', 54234, 1321)",21:00,14/08/2022,,,,
"('ARR', 55390, 1429)",21:00,14/08/2022,,,,
"('ARR', 56135, 1288)",21:00,14/08/2022,,,,
"('ARR', 412023, 1567)",21:00,14/08/2022,,,,
"('ARR', 41264, 2793)",21:00,14/08/2022,,,,
"('ARR', 431802, 1620)",21:00,14/08/2022,,,,
"('ARR', 44222, 2533)",21:00,14/08/2022,,,,
"('ARR', 44250, 2058)",21:00,14/08/2022,,,,
"('ARR', 44865, 2416)",21:00,14/08/2022,,,,
"('ARR', 450237, 2147)",21:00,14/08/2022,,,,
"('ARR', 471003, 2203)",21:00,14/08/2022,,,,
"('ARR', 47262, 1982)",21:00,14/08/2022,,,,
"('ARR', 489026, 2011)",21:00,14/08/2022,,,,
"('ARR', 54234, 2761)",21:00,14/08/2022,,,,
"('ARR', 55390, 2869)",21:00,14/08/2022,,,,
"('ARR', 55398, 1680)",21:00,14/08/2022,,,,
"('ARR', 56135, 2728)",21:00,14/08/2022,,,,
"('ARR', 56730, 1592)",21:00,14/08/2022,,,,
"('ARR', 58706, 2715)",21:00,14/08/2022,,,,
"('ARR', 412023, 3007)",21:00,14/08/2022,,,,
"('ARR', 412202, 4128)",21:00,14/08/2022,,,,
"('ARR', 41264, 4233)",21:00,14/08/2022,,,,
"('ARR', 431020, 4098)",21:00,14/08/2022,,,,
"('ARR', 431110, 3630)",21:00,14/08/2022,,,,
"('ARR', 431246, 3544)",21:00,14/08/2022,,,,
"('ARR', 431802, 3115)",21:00,14/08/2022,,,,
"('ARR', 44222, 3832)",21:00,14/08/2022,,,,
"('ARR', 44228, 2953)",21:00,14/08/2022,,,,
"('ARR', 44250, 3498)",21:00,14/08/2022,,,,
"('ARR', 450237, 3587)",21:00,14/08/2022,,,,
"('ARR', 471003, 3643)",21:00,14/08/2022,,,,
"('ARR', 47214, 3643)",21:00,14/08/2022,,,,
"('ARR', 47262, 3422)",21:00,14/08/2022,,,,
"('ARR', 54234, 4201)",21:00,14/08/2022,,,,
"('ARR', 55390, 4309)",21:00,14/08/2022,,,,
"('ARR', 55396, 3345)",21:00,14/08/2022,,,,
"('ARR', 56135, 4168)",21:00,14/08/2022,,,,
"('ARR', 56730, 3032)",21:00,14/08/2022,,,,
"('ARR', 58706, 4155)",21:00,14/08/2022,,,,
"('ARR', 71270, 3445)",21:00,14/08/2022,,,,
"('ARR', 412023, 4447)",21:00,14/08/2022,,,,
"('ARR', 412202, 5568)",21:00,14/08/2022,,,,
"('ARR', 41254, 5717)",21:00,14/08/2022,,,,
"('ARR', 431246, 4984)",21:00,14/08/2022,,,,
"('ARR', 431640, 4989)",21:00,14/08/2022,,,,
"('ARR', 431802, 4500)",21:00,14/08/2022,,,,
"('ARR', 44222, 5272)",21:00,14/08/2022,,,,
"('ARR', 44250, 4938)",21:00,14/08/2022,,,,
"('ARR', 44865, 5299)",21:00,14/08/2022,,,,
"('ARR', 450237, 5027)",21:00,14/08/2022,,,,
"('ARR', 471003, 5083)",21:00,14/08/2022,,,,
"('ARR', 47212, 5383)",21:00,14/08/2022,,,,
"('ARR', 47240, 4487)",21:00,14/08/2022,,,,
"('ARR', 47262, 4862)",21:00,14/08/2022,,,,
"('ARR', 47822, 5493)",21:00,14/08/2022,,,,
"('ARR', 54234, 5641)",21:00,14/08/2022,,,,
"('ARR', 55390, 5749)",21:00,14/08/2022,,,,
"('ARR', 55394, 5013)",21:00,14/08/2022,,,,
"('ARR', 55396, 4545)",21:00,14/08/2022,,,,
"('ARR', 56135, 5608)",21:00,14/08/2022,,,,
"('ARR', 56730, 4472)",21:00,14/08/2022,,,,
"('ARR', 58706, 5595)",21:00,14/08/2022,,,,
"('ARR', 412023, 5887)",21:00,14/08/2022,,,,
"('ARR', 412202, 7008)",21:00,14/08/2022,,,,
"('ARR', 41264, 7113)",21:00,14/08/2022,,,,
"('ARR', 431246, 6424)",21:00,14/08/2022,,,,
"('ARR', 431802, 6063)",21:00,14/08/2022,,,,
"('ARR', 44222, 6712)",21:00,14/08/2022,,,,
"('ARR', 44228, 5833)",21:00,14/08/2022,,,,
"('ARR', 44250, 6378)",21:00,14/08/2022,,,,
"('ARR', 44865, 6739)",21:00,14/08/2022,,,,
"('ARR', 44951, 6890)",21:00,14/08/2022,,,,
"('ARR', 450237, 6467)",21:00,14/08/2022,,,,
"('ARR', 471003, 6523)",21:00,14/08/2022,,,,
"('ARR', 47214, 6823)",21:00,14/08/2022,,,,
"('ARR', 47262, 6302)",21:00,14/08/2022,,,,
"('ARR', 47822, 6933)",21:00,14/08/2022,,,,
"('ARR', 48216, 6223)",21:00,14/08/2022,,,,
"('ARR', 489026, 6453)",21:00,14/08/2022,,,,
"('ARR', 489042, 7056)",21:00,14/08/2022,,,,
"('ARR', 54234, 7081)",21:00,14/08/2022,,,,
"('ARR', 55396, 6225)",21:00,14/08/2022,,,,
"('ARR', 56135, 7048)",21:00,14/08/2022,,,,
"('ARR', 56730, 5912)",21:00,14/08/2022,,,,
"('ARR', 58706, 7035)",21:00,14/08/2022,,,,
"('ARR', 71270, 6325)",21:00,14/08/2022,,,,
"('ARR', 412023, 7327)",21:00,14/08/2022,,,,
"('ARR', 41230, 8521)",21:00,14/08/2022,,,,
"('ARR', 431802, 7503)",21:00,14/08/2022,,,,
"('ARR', 44222, 8165)",21:00,14/08/2022,,,,
"('ARR', 44228, 7273)",21:00,14/08/2022,,,,
"('ARR', 44250, 7831)",21:00,14/08/2022,,,,
"('ARR', 44864, 8172)",21:00,14/08/2022,,,,
"('ARR', 450235, 7911)",21:00,14/08/2022,,,,
"('ARR', 47240, 7306)",21:00,14/08/2022,,,,
"('ARR', 47262, 7757)",21:00,14/08/2022,,,,
"('ARR', 47822, 8373)",21:00,14/08/2022,,,,
"('ARR', 489026, 7893)",21:00,14/08/2022,,,,
"('ARR', 54234, 8521)",21:00,14/08/2022,,,,
"('ARR', 55390, 8629)",21:00,14/08/2022,,,,
"('ARR', 55396, 7665)",21:00,14/08/2022,,,,
"('ARR', 56135, 8488)",21:00,14/08/2022,,,,
"('ARR', 56730, 7352)",21:00,14/08/2022,,,,
"('ARR', 58706, 8475)",21:00,14/08/2022,,,,
"('ARR', 56730, 8795)",21:00,14/08/2022,,,,
"('DEP', 400006, 2386)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400016, 2806)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400110, 2697)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431035, 2342)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431091, 1819)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44203, 2515)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44241, 2242)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44249, 1627)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44806, 1933)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47245, 2300)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47289, 2100)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47821, 2785)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489447, 1811)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 52672, 2412)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54003, 1679)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54051, 1774)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54086, 1670)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54231, 2289)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 450226, 3320)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400014, 4067)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 412124, 3073)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 41258, 3043)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431035, 3783)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431091, 3259)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44203, 3955)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44241, 3682)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44249, 3067)",,,21:15,14/08/2022,00:00,15/08/2022
