Train,Start Time DEB,Start Time FOR,Start Time DEG
"('ARR', 412202, 1248)",1308.0,,
"('ARR', 431018, 801)",891.0,,
"('ARR', 431246, 664)",876.0,,
"('ARR', 44951, 1130)",1190.0,,
"('ARR', 450237, 707)",861.0,,
"('ARR', 489016, 1415)",1504.0,,
"('ARR', 54234, 1321)",1381.0,,
"('ARR', 55390, 1429)",1489.0,,
"('ARR', 56135, 1288)",1348.0,,
"('ARR', 412023, 1567)",1627.0,,
"('ARR', 41264, 2793)",2853.0,,
"('ARR', 431802, 1620)",1680.0,,
"('ARR', 44222, 2533)",2593.0,,
"('ARR', 44250, 2058)",2118.0,,
"('ARR', 44865, 2416)",2476.0,,
"('ARR', 450237, 2147)",2207.0,,
"('ARR', 471003, 2203)",2263.0,,
"('ARR', 47262, 1982)",2042.0,,
"('ARR', 489026, 2011)",2071.0,,
"('ARR', 54234, 2761)",2821.0,,
"('ARR', 55390, 2869)",2929.0,,
"('ARR', 55398, 1680)",1740.0,,
"('ARR', 56135, 2728)",2790.0,,
"('ARR', 56730, 1592)",1652.0,,
"('ARR', 58706, 2715)",2775.0,,
"('ARR', 412023, 3007)",3514.0,,
"('ARR', 412202, 4128)",4188.0,,
"('ARR', 41264, 4233)",4293.0,,
"('ARR', 431020, 4098)",4158.0,,
"('ARR', 431110, 3630)",3733.0,,
"('ARR', 431246, 3544)",3604.0,,
"('ARR', 431802, 3115)",3175.0,,
"('ARR', 44222, 3832)",3892.0,,
"('ARR', 44228, 2953)",3013.0,,
"('ARR', 44250, 3498)",3558.0,,
"('ARR', 450237, 3587)",3647.0,,
"('ARR', 471003, 3643)",3718.0,,
"('ARR', 47214, 3643)",3703.0,,
"('ARR', 47262, 3422)",3482.0,,
"('ARR', 54234, 4201)",4958.0,,
"('ARR', 55390, 4309)",4369.0,,
"('ARR', 55396, 3345)",3405.0,,
"('ARR', 56135, 4168)",4230.0,,
"('ARR', 56730, 3032)",3092.0,,
"('ARR', 58706, 4155)",4215.0,,
"('ARR', 71270, 3445)",4973.0,,
"('ARR', 412023, 4447)",4507.0,,
"('ARR', 412202, 5568)",5628.0,,
"('ARR', 41254, 5717)",5777.0,,
"('ARR', 431246, 4984)",5064.0,,
"('ARR', 431640, 4989)",5049.0,,
"('ARR', 431802, 4500)",4562.0,,
"('ARR', 44222, 5272)",5332.0,,
"('ARR', 44250, 4938)",4998.0,,
"('ARR', 44865, 5299)",5359.0,,
"('ARR', 450237, 5027)",5087.0,,
"('ARR', 471003, 5083)",5143.0,,
"('ARR', 47212, 5383)",5443.0,,
"('ARR', 47240, 4487)",4547.0,,
"('ARR', 47262, 4862)",4922.0,,
"('ARR', 47822, 5493)",5553.0,,
"('ARR', 54234, 5641)",5701.0,,
"('ARR', 55390, 5749)",5809.0,,
"('ARR', 55394, 5013)",5102.0,,
"('ARR', 55396, 4545)",4605.0,,
"('ARR', 56135, 5608)",5670.0,,
"('ARR', 56730, 4472)",4532.0,,
"('ARR', 58706, 5595)",5655.0,,
"('ARR', 412023, 5887)",5947.0,,
"('ARR', 412202, 7008)",7068.0,,
"('ARR', 41264, 7113)",7173.0,,
"('ARR', 431246, 6424)",6484.0,,
"('ARR', 431802, 6063)",6123.0,,
"('ARR', 44222, 6712)",6772.0,,
"('ARR', 44228, 5833)",5893.0,,
"('ARR', 44250, 6378)",7784.0,,
"('ARR', 44865, 6739)",6799.0,,
"('ARR', 44951, 6890)",6950.0,,
"('ARR', 450237, 6467)",6528.0,,
"('ARR', 471003, 6523)",6583.0,,
"('ARR', 47214, 6823)",6883.0,,
"('ARR', 47262, 6302)",6362.0,,
"('ARR', 47822, 6933)",6993.0,,
"('ARR', 48216, 6223)",6300.0,,
"('ARR', 489026, 6453)",6513.0,,
"('ARR', 489042, 7056)",7125.0,,
"('ARR', 54234, 7081)",7141.0,,
"('ARR', 55396, 6225)",6285.0,,
"('ARR', 56135, 7048)",7110.0,,
"('ARR', 56730, 5912)",5972.0,,
"('ARR', 58706, 7035)",7095.0,,
"('ARR', 71270, 6325)",7356.0,,
"('ARR', 412023, 7327)",7387.0,,
"('ARR', 41230, 8521)",9224.0,,
"('ARR', 431802, 7503)",7563.0,,
"('ARR', 44222, 8165)",8610.0,,
"('ARR', 44228, 7273)",8625.0,,
"('ARR', 44250, 7831)",7891.0,,
"('ARR', 44864, 8172)",8640.0,,
"('ARR', 450235, 7911)",8476.0,,
"('ARR', 47240, 7306)",8515.0,,
"('ARR', 47262, 7757)",7817.0,,
"('ARR', 47822, 8373)",8461.0,,
"('ARR', 489026, 7893)",7953.0,,
"('ARR', 54234, 8521)",8581.0,,
"('ARR', 55390, 8629)",8689.0,,
"('ARR', 55396, 7665)",7725.0,,
"('ARR', 56135, 8488)",8550.0,,
"('ARR', 56730, 7352)",7412.0,,
"('ARR', 58706, 8475)",8535.0,,
"('ARR', 56730, 8795)",8855.0,,
"('DEP', 400006, 2386)",,2186.0,2351.0
"('DEP', 400016, 2806)",,2606.0,2771.0
"('DEP', 400110, 2697)",,2497.0,2662.0
"('DEP', 431035, 2342)",,2142.0,2307.0
"('DEP', 431091, 1819)",,1596.0,1761.0
"('DEP', 44203, 2515)",,2315.0,2480.0
"('DEP', 44241, 2242)",,2042.0,2207.0
"('DEP', 44249, 1627)",,1427.0,1592.0
"('DEP', 44806, 1933)",,1733.0,1898.0
"('DEP', 47245, 2300)",,2100.0,2265.0
"('DEP', 47289, 2100)",,1900.0,2065.0
"('DEP', 47821, 2785)",,2585.0,2750.0
"('DEP', 489447, 1811)",,1611.0,1776.0
"('DEP', 52672, 2412)",,1657.0,2372.0
"('DEP', 54003, 1679)",,1455.0,1620.0
"('DEP', 54051, 1774)",,1574.0,1739.0
"('DEP', 54086, 1670)",,1470.0,1635.0
"('DEP', 54231, 2289)",,1755.0,1920.0
"('DEP', 450226, 3320)",,3092.0,3257.0
"('DEP', 400014, 4067)",,3867.0,4032.0
"('DEP', 412124, 3073)",,2873.0,3038.0
"('DEP', 41258, 3043)",,1642.0,1807.0
"('DEP', 431035, 3783)",,3122.0,3748.0
"('DEP', 431091, 3259)",,3059.0,3224.0
"('DEP', 44203, 3955)",,3755.0,3920.0
"('DEP', 44241, 3682)",,3482.0,3647.0
"('DEP', 44249, 3067)",,2278.0,2443.0
"('DEP', 47205, 3728)",,3514.0,3679.0
"('DEP', 48215, 3847)",,3637.0,3802.0
"('DEP', 489044, 3010)",,2222.0,2387.0
"('DEP', 52672, 3852)",,3652.0,3817.0
"('DEP', 54003, 3119)",,2919.0,3084.0
"('DEP', 54053, 3818)",,3618.0,3783.0
"('DEP', 54231, 3729)",,3529.0,3694.0
"('DEP', 71210, 3180)",,2980.0,3145.0
"('DEP', 400006, 5266)",,5066.0,5231.0
"('DEP', 400010, 5746)",,5546.0,5711.0
"('DEP', 400016, 5686)",,5486.0,5651.0
"('DEP', 431035, 5222)",,4988.0,5153.0
"('DEP', 44203, 5395)",,5195.0,5360.0
"('DEP', 44241, 5122)",,4922.0,5087.0
"('DEP', 44806, 4638)",,4438.0,4603.0
"('DEP', 450226, 4760)",,3107.0,3272.0
